Serial Number,Published At,Comment
235,2023-02-01T18:15:26Z,After so long I have seen him praising India    well done GOI for making this happen
236,2023-02-01T17:43:29Z,Thank you for sharing this I did not know
237,2023-02-01T17:42:49Z,Bro we still facing pollution problem in city.
238,2023-02-01T16:17:37Z,Come to punjab then u will know the reality
239,2023-02-01T15:50:07Z,"Thanks for showing uttarakhand it&#39;s my birth place and let me tell you it&#39;s one of the most beautiful state of India if you ever come here ,visit mussoorie, pauri, Tehri, dehradun and almora"
240,2023-02-01T15:42:28Z,"only 2 days of such fugging smog is extremly evil, btw in new delhi is mt everest of garbage, no toilets in india, in reality river ghanges is full of shidd, urin, ash of deads and industrial wastewater and indians bathing inside and drinking that water, right ???????"
241,2023-02-01T15:25:37Z,"Media really makes it seem like India is one huge trash pile of pollution. It&#39;s a really beautiful country, I&#39;d love to visit someday."
242,2023-02-01T15:06:03Z,I had been in Delhi for 5 years around 2008. It was nice weather and no mist all year round
243,2023-02-01T14:28:08Z,"It causes due to people makes born , farm  and removing hills to plain simultaneously"
244,2023-02-01T13:16:35Z,Your content is fabulous so unbiased and absolutely from the heart about India! So glad you&#39;re not leaning towards white supremacy! Looks like you&#39;re almost becoming one of us! An indian
245,2023-02-01T12:46:19Z,News channels show the news  that sell
246,2023-02-01T12:40:39Z,the news just suuuks up to the west.
247,2023-02-01T12:11:34Z,"It looks nice from the sky but come on the street, you&#39;ll just throw up"
248,2023-02-01T12:06:54Z,If there are such stupid people to make such misconceptions then please stay away. We’re eventually becoming less welcoming to stupidity and hostility
249,2023-02-01T11:43:33Z,"No! Media does show these beautiful sites and what the 1% get to enjoy. What it doesn&#39;t show you is the sufferings, hunger, poverty, oppression, hatred, and the list goes on."
250,2023-02-01T11:20:16Z,"The AQI is still terrible in and near urban areas no matter the fluctuations in air clarity. You will still notice that even in rural areas, once clearly visible hills/ mountains are obscured by a haze."
251,2023-02-01T10:28:54Z,Now he start making negetive videos on India
252,2023-02-01T09:49:46Z,"Crop burning is the main factor, if India installs effective waste management systems and makes crop burning illegal, it could make a MASSIVE difference."
253,2023-02-01T09:27:40Z,Because it doesn’t fit with western media’s propaganda against india
254,2023-02-01T09:11:00Z,Thank you for bringing out the true colours of our country
255,2023-02-01T09:00:37Z,South India and the northeast in India is mesmerizing
256,2023-02-01T08:47:10Z,My background is Indian and I am Australian and I love North Indian
257,2023-02-01T08:46:21Z,Ah yes whole of India is depicted by Delhi ok
258,2023-02-01T08:04:06Z,This guys knows how to get views .His whole channel is based on India .Good for him.
259,2023-02-01T07:11:53Z,Someone become a pajeet
260,2023-02-01T07:08:47Z,yeah.. they don&#39;t show anything about Uttarakhand ..
261,2023-02-01T05:56:06Z,ThanksI love home so much
262,2023-02-01T05:55:23Z,I go to India once. Spent 1 day in delhi. Yeah I can say I enjoy it. But the rest of the week I spent outside of big city it was amazing. India is beautiful!! Just don&#39;t stay too long in the big city.
263,2023-02-01T05:03:31Z,"Looks even worse in their better days, tbh lol"
264,2023-02-01T03:17:59Z,Perfectly  said .brother
265,2023-02-01T02:10:10Z,Beauty
266,2023-02-01T01:54:47Z,Maybe you should come to south Indian side
267,2023-02-01T00:49:58Z,Some places people poops every where
268,2023-02-01T00:27:02Z,My news never shows India anytime of year
269,2023-01-31T22:50:44Z,it actually looks like this shows less but still clearly visible smog
270,2023-01-31T22:28:23Z,do we really care karl
271,2023-01-31T20:58:19Z,but most of the population live in the north tho
272,2023-01-31T20:12:55Z,Where are the slums?
273,2023-01-31T20:06:37Z,Ssshhh don&#39;t say it out loud.. we don&#39;t want people to flock in outside the mega cities and pollute it too
274,2023-01-31T19:03:58Z,"Nah, Delhi never looked like the clean one you showed, been here 8 yrs straight without ever leaving, i can tell u we already wore face-mask before all the Covid happened"
275,2023-01-31T17:52:15Z,What about ladakh.. Where you can even see the galaxy...
276,2023-01-31T17:40:51Z,"During dewali , don&#39;t drive infact don&#39;t step outside it too dense with smog"
277,2023-01-31T17:32:34Z,"Please let them know that North India Is not fully polluted we have pollution free places like Mizoram, Aizawl, Guwahati, etc we also take cleaning seriously around here"
278,2023-01-31T15:15:23Z,"Beijing, Singapore fixes the haze. It&#39;s not an excuse for New Delhi for not doing anything"
279,2023-01-31T15:09:57Z,"Ahh, so most of the year it only looks HALF as polluted, got it!"
280,2023-01-31T15:02:44Z,Karl rock is now our propaganda minister
281,2023-01-31T14:22:38Z,Just cause it’s not like that often the fact it still gets like that is pretty bad
282,2023-01-31T14:04:10Z,Thank you so much brother for correcting the misconceptions.
283,2023-01-31T13:56:00Z,Thanks Brother
284,2023-01-31T13:53:47Z,Great.....we love our country
285,2023-01-31T13:32:29Z,"so true! India is a country which have faced the most misconceptions, or lies ...but then also...there are beautiful people like you, who shows the facts and beauty of Bharat  thank you karl"
286,2023-01-31T13:22:04Z,"I live in Delhi, pollution is very common, it is as common that we don&#39;t have habit of living in fresh air"
287,2023-01-31T13:14:37Z,"We need you to visit our south india too, it&#39;s the real heaven"
