serial_number,website_name,url,title,date,content
113,CNA,https://www.channelnewsasia.com/commentary/singapore-transboundary-haze-pollution-southeast-asia-n95-air-purifier-health-covid-lessons-preparation-3712786,Commentary: Is Singapore prepared for the haze season?,"22 Aug 2023 06:02AM
(Updated: 22 Aug 2023 07:24AM)",
114,CNA,https://www.channelnewsasia.com/singapore/deep-tunnel-sewerage-system-used-water-superhighway-tunnelling-works-completed-phase-2-3708366,Tunnelling works completed for Phase 2 of Singapore's sewage 'superhighway',,
115,CNA,https://www.channelnewsasia.com/asia/indonesia-new-capital-nusantara-no-garuda-inspired-palace-yet-3702906,No Garuda-inspired palace yet: Slow construction among other woes in Indonesia’s new capital Nusantara,"17 Aug 2023 08:15AM
(Updated: 05 Sep 2023 11:20AM)",
116,CNA,https://www.channelnewsasia.com/indonesia/polusi-udara-di-jakarta-el-nino-ispa-presiden-joko-widodo-3702546,"Polusi sebabkan penyakit pernapasan, Indonesia gerak cepat tangani pencemaran udara Jakarta","16 Aug 2023 03:36PM
(Updated: 18 Aug 2023 11:30AM)",
117,CNA,https://www.channelnewsasia.com/asia/indonesia-joko-widodo-jokowi-greater-jakarta-air-pollution-health-acute-respiratory-infection-3700291,"Nursing a persistent cough, Jokowi calls for air pollution measures in Jakarta as locals complain of respiratory issues","15 Aug 2023 06:17PM
(Updated: 15 Aug 2023 08:16PM)",
118,CNA,https://www.channelnewsasia.com/commentary/sinus-stuffy-nose-sneezing-allergy-rhinitis-rhinosinusitis-singapore-3650331,Commentary: Why are sinus problems so common in Singapore?,"12 Aug 2023 06:04AM
(Updated: 12 Aug 2023 06:54PM)",
119,CNA,https://www.channelnewsasia.com/malaysia/penapis-udara-singapura-jerebu-kesihatan-pencemaran-cuaca-ozon-kualiti-basmi-kuman-3671936,Perlukah alat penapis udara di rumah ketika jerebu melanda?,"03 Aug 2023 02:04PM
(Updated: 03 Aug 2023 02:10PM)",
120,CNA,https://www.channelnewsasia.com/sustainability/warming-world-air-conditioning-inevitable-3671901,Page Not Found,,"We’re sorry. The page you are looking for appears to have moved or does not exist.
Check the URL or try using our search function at the top right."
121,CNA,https://www.channelnewsasia.com/singapore/air-purifier-haze-home-effective-filters-3607476,CNA Explains: Do you need an air purifier for your home if haze hits?,"10 Jul 2023 06:00AM
(Updated: 10 Jul 2023 11:04AM)",
122,CNA,https://www.channelnewsasia.com/wellness/how-dirty-clothes-wear-outside-air-pollutants-3592061,How dirty are the clothes you wear outside? Should you shower and change immediately after reaching home?,"06 Jul 2023 07:15AM
(Updated: 07 Jul 2023 10:37AM)",
123,CNA,https://www.channelnewsasia.com/singapore/haze-n95-mask-stockpile-pharmacy-shortage-air-purifier-3606876,MOH prepared to release stockpile of N95 masks to pharmacies if haze causes shortage,"05 Jul 2023 01:22PM
(Updated: 05 Jul 2023 03:28PM)",
124,CNA,https://www.channelnewsasia.com/world/canadian-wildfires-air-quality-unhealthy-chicago-3590726,Canadian wildfires are causing unhealthy air quality again in Chicago and other parts of the US,,
125,CNA,https://www.channelnewsasia.com/singapore/businesses-prepare-rise-demand-masks-and-air-purifiers-singapore-braces-haze-season-3582431,"As haze season approaches, businesses prepare for surge in demand of masks, air purifiers","23 Jun 2023 03:01PM
(Updated: 23 Jun 2023 07:18PM)",
